Date,Time,Open,High,Low,Close,Volume
04-01-2021,04:00:00,709,725,709,725,25351
04-01-2021,04:05:00,725,725,719,719,18079
04-01-2021,04:10:00,720,722,720,721,5139
04-01-2021,04:15:00,720.8,722.39,720,722.39,4148
04-01-2021,04:20:00,722.58,724.3,722.58,723.45,4621
04-01-2021,04:25:00,723.79,724,723.05,724,4300
04-01-2021,04:30:00,724,724.02,722.8,723,3745
04-01-2021,04:35:00,723.4,724.84,723.4,724.84,1249
04-01-2021,04:40:00,724.93,725.5,724.8,725.36,10269
04-01-2021,04:45:00,725.43,725.8,725,725.07,2314
04-01-2021,04:50:00,725.24,725.47,725,725.28,1465
04-01-2021,04:55:00,725.37,726.75,725.37,726.75,912
04-01-2021,05:00:00,726.85,727.3,726.53,727.27,2953
04-01-2021,05:05:00,727.3,728.1,727.3,727.79,1315
04-01-2021,05:10:00,728.5,729.77,728.3,728.3,3512
04-01-2021,05:15:00,728,728.01,726.53,726.53,4113
04-01-2021,05:20:00,725.78,726,725,726,2182
04-01-2021,05:25:00,725.28,725.32,725.28,725.32,266
04-01-2021,05:30:00,725.25,725.69,725.17,725.69,1097
04-01-2021,05:35:00,725.9,726.51,725.61,725.61,3947
04-01-2021,05:40:00,725.06,725.5,725,725,1629
04-01-2021,05:45:00,725,725.1,725,725,1146
04-01-2021,05:50:00,725.25,725.5,725,725.41,1853
04-01-2021,05:55:00,725.4,725.5,725,725.12,902
04-01-2021,06:00:00,725.6,726.98,725.5,725.5,991
04-01-2021,06:05:00,725.5,725.5,725.48,725.5,1476
04-01-2021,06:10:00,725.5,725.6,725,725,435
04-01-2021,06:15:00,725,725.51,725,725.11,2711
04-01-2021,06:20:00,725.2,725.2,725,725,639
04-01-2021,06:25:00,725.49,725.5,725.49,725.5,300
04-01-2021,06:30:00,725.99,727.49,725.7,727.49,2312
04-01-2021,06:40:00,727.49,727.79,727.49,727.5,1110
04-01-2021,06:45:00,727.78,728,727.49,728,1986
04-01-2021,06:50:00,727.9,727.9,725.42,725.42,1127
04-01-2021,06:55:00,726.14,726.5,726.14,726.14,2526
04-01-2021,07:00:00,725.51,725.98,721.41,722.81,66023
04-01-2021,07:05:00,722.96,723,721.93,722.5,38689
04-01-2021,07:10:00,722.41,722.54,721.35,722.5,23759
04-01-2021,07:15:00,722.49,723,721.33,721.9,27074
04-01-2021,07:20:00,721.92,721.99,719.25,719.43,39018
04-01-2021,07:25:00,719.3,720.54,718.23,720.5,24307
04-01-2021,07:30:00,720.46,720.95,720.02,720.52,9805
04-01-2021,07:35:00,720.3,721,720.18,720.55,21913
04-01-2021,07:40:00,720.73,721.89,720.32,721.89,22936
04-01-2021,07:45:00,721.89,722.5,721.02,721.6,21370
04-01-2021,07:50:00,721.98,722.39,720.8,721,25314
04-01-2021,07:55:00,720.75,720.75,720,720.5,6697
04-01-2021,08:00:00,726,726,718.2,719,96612
04-01-2021,08:05:00,719,721.5,718.76,721,18342
04-01-2021,08:10:00,720.66,721.83,720.52,721.25,10828
04-01-2021,08:15:00,721.4,722.15,721.12,721.18,26294
04-01-2021,08:20:00,721.18,721.31,720.45,720.61,5440
04-01-2021,08:25:00,720.65,720.69,719.43,720.33,13706
04-01-2021,08:30:00,720.6,721.77,720.43,721.3,23510
04-01-2021,08:35:00,721.5,721.75,720.99,721.5,8306
04-01-2021,08:40:00,721.29,722.77,721.29,721.9,30080
04-01-2021,08:45:00,721.8,721.99,721.05,721.34,8331
04-01-2021,08:50:00,721.45,721.45,720.98,721.15,13410
04-01-2021,08:55:00,721,721,719.21,719.6,19333
04-01-2021,09:00:00,719.9,719.91,718.8,719.59,28777
04-01-2021,09:05:00,719.75,720,719.17,719.26,18033
04-01-2021,09:10:00,719.21,719.5,715.5,717.88,46483
04-01-2021,09:15:00,717.85,718,715.62,717,39285
04-01-2021,09:20:00,717,717.86,716.65,717.24,15674
04-01-2021,09:25:00,717.3,720.9,716.3,719.77,88571
04-01-2021,09:30:00,719.5,728.25,717.19,728.05,1859253
04-01-2021,09:35:00,728.131,730.88,725.58,726.85,1257850
04-01-2021,09:40:00,727.26,742.85,726.938,742.6,1513897
04-01-2021,09:45:00,742.528,743.76,739.41,740.72,1165648
04-01-2021,09:50:00,740.538,741.8,735.22,737.382,757408
04-01-2021,09:55:00,737.7,741.11,736.81,738.55,539267
04-01-2021,10:00:00,738.95,739.27,735.66,737.794,458457
04-01-2021,10:05:00,737.7,739.54,734.35,735.2,517974
04-01-2021,10:10:00,735.61,738.5,733.5,738.343,530481
04-01-2021,10:15:00,738.46,741.47,737.93,739.611,602791
04-01-2021,10:20:00,739.468,743,738.52,741.93,653639
04-01-2021,10:25:00,742,742.767,738.57,740.03,417205
04-01-2021,10:30:00,740,744.49,739.339,741.845,615762
04-01-2021,10:35:00,741.73,742.01,739.51,740.25,347687
04-01-2021,10:40:00,740.225,743.19,738.57,741.057,459410
04-01-2021,10:45:00,741,741.071,736,736.668,532311
04-01-2021,10:50:00,736.575,738.16,735.68,736.45,439834
04-01-2021,10:55:00,736.326,738.8,730.52,731.2,642248
04-01-2021,11:00:00,731.335,733.99,728.26,729.39,662454
04-01-2021,11:05:00,729.115,732.99,728.6,732,530468
04-01-2021,11:10:00,732,732.19,728.5,729.89,356358
04-01-2021,11:15:00,729.8,731.62,728.51,730.522,299472
04-01-2021,11:20:00,730.4,734.91,730.25,733.72,510199
04-01-2021,11:25:00,733.575,736.82,732.84,735.62,390919
04-01-2021,11:30:00,735.45,735.75,732.2,733.755,300436
04-01-2021,11:35:00,733.75,734.769,731.925,734.32,189470
04-01-2021,11:40:00,734.32,734.43,732.4,732.843,106768
04-01-2021,11:45:00,732.99,733.69,731.77,733.3,120479
04-01-2021,11:50:00,733.195,734.5,729.368,729.87,278814
04-01-2021,11:55:00,729.84,733.06,729.253,730.975,268158
04-01-2021,12:00:00,730.854,732.634,727,727.49,416187
04-01-2021,12:05:00,727.66,729.4,724.5,725.09,413809
04-01-2021,12:10:00,725.24,725.87,720.12,721.45,610618
04-01-2021,12:15:00,721.436,723.82,719.99,720.3,720282
04-01-2021,12:20:00,720.3,724.99,718.03,724.234,645194
04-01-2021,12:25:00,724.42,725.958,722.72,723.61,324480
04-01-2021,12:30:00,723.76,725.25,721.151,724.202,286152
04-01-2021,12:35:00,724.22,725.71,722.145,723.14,217393
04-01-2021,12:40:00,723.016,723.32,721.515,722.24,175143
04-01-2021,12:45:00,722.299,722.72,719.9,721.34,255734
04-01-2021,12:50:00,721.34,723.2,720.447,723.07,285528
04-01-2021,12:55:00,723.028,724.99,722.917,724.055,240066
04-01-2021,13:00:00,723.83,727.76,723.31,727.041,431086
04-01-2021,13:05:00,727.079,727.39,724.82,726.31,184326
04-01-2021,13:10:00,726.43,727.17,725.537,726.055,140546
04-01-2021,13:15:00,725.95,731,725.8,729.93,440028
04-01-2021,13:20:00,729.88,731.429,728.87,731.032,263629
04-01-2021,13:25:00,731.065,731.99,729.79,731.165,254324
04-01-2021,13:30:00,731.11,731.66,728.67,729.14,174838
04-01-2021,13:35:00,729.02,732.72,729.015,732.32,249799
04-01-2021,13:40:00,732.24,734.85,731.904,733.959,357944
04-01-2021,13:45:00,734.115,735.8,733.18,735.339,244042
04-01-2021,13:50:00,735.375,736.49,734.4,736,219312
04-01-2021,13:55:00,735.975,736,732.58,733.13,243939
04-01-2021,14:00:00,733.283,733.99,732.17,733.2,149095
04-01-2021,14:05:00,733.15,733.48,729.11,729.7,240218
04-01-2021,14:10:00,729.94,731.787,729.15,731.31,208797
04-01-2021,14:15:00,731.19,731.28,728.35,729.03,136139
04-01-2021,14:20:00,729.005,730.05,727.73,729.39,210832
04-01-2021,14:25:00,729.192,729.193,726.25,727.47,271639
04-01-2021,14:30:00,727.29,728.38,726.3,727.04,181844
04-01-2021,14:35:00,726.985,729.85,726.39,729.3,209316
04-01-2021,14:40:00,729.3,729.3,727.21,728.56,155375
04-01-2021,14:45:00,728.37,728.65,725.4,725.701,147980
04-01-2021,14:50:00,725.81,727,724.28,725.839,346247
04-01-2021,14:55:00,725.73,730.69,725.73,730.38,334527
04-01-2021,15:00:00,730.37,730.9,726.8,727.285,205645
04-01-2021,15:05:00,727.155,731,727.15,729.496,257927
04-01-2021,15:10:00,729.6,731,728.141,730.78,155468
04-01-2021,15:15:00,730.605,732.68,729.83,730.167,285329
04-01-2021,15:20:00,730.07,731.43,729.58,729.9,180069
04-01-2021,15:25:00,729.65,731.41,729.65,730.791,164454
04-01-2021,15:30:00,730.855,730.99,729.2,730.59,197962
04-01-2021,15:35:00,730.5,732.78,730.461,731.89,272094
04-01-2021,15:40:00,731.99,732.09,729.36,730.053,240919
04-01-2021,15:45:00,730.1,730.5,729.25,730,184119
04-01-2021,15:50:00,729.86,731.4,728.25,729.295,266116
04-01-2021,15:55:00,729.42,730.1,729,729.75,389840
04-01-2021,16:00:00,729.77,730.29,729.333,729.78,1944295
04-01-2021,16:05:00,729.85,731,729.6,730.51,10890
04-01-2021,16:10:00,730.5,731.525,729.77,730.1,15040
04-01-2021,16:15:00,730.1,731.49,730.1,731,7717
04-01-2021,16:20:00,730.8,731,729.8,730.1,4355
04-01-2021,16:25:00,729.9,730.3,729.9,730.29,5078
04-01-2021,16:30:00,730.4,730.76,730.05,730.35,1710
04-01-2021,16:35:00,730.6,731,729.77,730.54,3384
04-01-2021,16:40:00,730.66,730.8,730.1,730.25,7108
04-01-2021,16:45:00,730.25,730.6,730.25,730.6,3180
04-01-2021,16:50:00,730.69,730.69,730.3,730.6,1891
04-01-2021,16:55:00,730.66,730.9,730.51,730.51,2262
04-01-2021,17:00:00,730.52,730.69,730.33,730.6,3368
04-01-2021,17:05:00,730.42,731,730.42,730.8,2695
04-01-2021,17:10:00,731.25,731.8,731,731.4,6044
04-01-2021,17:15:00,731.4,731.45,731.4,731.45,694
04-01-2021,17:20:00,731.2,731.2,730.51,730.64,2068
04-01-2021,17:25:00,730.96,730.96,730.51,730.6,623
04-01-2021,17:30:00,730.95,730.95,730.6,730.6,1296
04-01-2021,17:35:00,730.61,730.94,730.61,730.61,1292
04-01-2021,17:40:00,730.8,730.9,730.71,730.9,2700
04-01-2021,17:45:00,730.75,731,730.75,731,4737
04-01-2021,17:50:00,731,731.88,731,731.1,3833
04-01-2021,17:55:00,731.1,731.6,731,731,1791
04-01-2021,18:00:00,730.8,730.8,730.5,730.5,1989
04-01-2021,18:05:00,730.4,730.4,730.1,730.35,2052
04-01-2021,18:10:00,730.3,730.5,730.15,730.24,3090
04-01-2021,18:15:00,730.25,730.25,730.12,730.12,774
04-01-2021,18:20:00,730,730.43,730,730.05,8968
04-01-2021,18:25:00,730.43,730.43,730.02,730.3,1504
04-01-2021,18:30:00,730.17,730.39,730,730.1,2398
04-01-2021,18:35:00,730.1,730.1,729.81,729.95,3075
04-01-2021,18:40:00,729.77,730.27,729.55,729.65,5107
04-01-2021,18:45:00,729.88,730.09,729.88,730.09,916
04-01-2021,18:50:00,729.77,729.95,729.77,729.8,1206
04-01-2021,18:55:00,729.93,729.93,729.5,729.6,1657
04-01-2021,19:00:00,729.21,729.54,729.05,729.07,4596
04-01-2021,19:05:00,729.54,730.4,729.54,730.4,2303
04-01-2021,19:10:00,730.5,730.85,730.36,730.36,800
04-01-2021,19:15:00,730.1,730.5,730.1,730.5,400
04-01-2021,19:20:00,730.13,730.13,729.77,729.77,2119
04-01-2021,19:25:00,729.7,730.2,729.55,730.2,2229
04-01-2021,19:30:00,729.9,730.2,729.9,730.2,891
04-01-2021,19:35:00,730.1,730.49,730.1,730.36,4330
04-01-2021,19:40:00,730.65,730.75,730.52,730.52,1148
04-01-2021,19:45:00,730.7,730.79,730.61,730.79,1367
04-01-2021,19:50:00,730.75,731.5,730.75,731.5,4153
04-01-2021,19:55:00,731.5,733.66,731.5,733.6,13603
05-01-2021,04:00:00,730.13,733.5,730.13,733.5,2915
05-01-2021,04:05:00,734.39,735.1,733.7,733.7,1923
05-01-2021,04:10:00,733,734.6,732.82,734.6,898
05-01-2021,04:15:00,734.9,737.89,734.9,737.41,2412
05-01-2021,04:20:00,737.33,737.33,736.41,736.41,398
05-01-2021,04:25:00,736.59,736.59,736.59,736.59,200
05-01-2021,04:30:00,735,735.34,735,735.34,760
05-01-2021,04:35:00,735.68,735.68,735.68,735.68,256
05-01-2021,04:50:00,735.61,735.61,734,734,2416
05-01-2021,04:55:00,733.01,733.01,731,732,3632
05-01-2021,05:00:00,731.95,732.1,731,732,2525
05-01-2021,05:05:00,732,732.6,731,731.01,1190
05-01-2021,05:10:00,731.75,732,731.75,732,400
05-01-2021,05:15:00,731.41,731.41,729.84,730,5527
05-01-2021,05:20:00,730.99,730.99,730.99,730.99,100
05-01-2021,05:25:00,731.75,731.75,731.06,731.06,350
05-01-2021,05:30:00,731.75,732.01,731.5,731.5,1000
05-01-2021,05:35:00,731.37,731.5,731.37,731.5,900
05-01-2021,05:50:00,731.11,731.11,730.99,730.99,542
05-01-2021,05:55:00,731.2,731.2,731.2,731.2,100
05-01-2021,06:15:00,732.85,732.85,732.85,732.85,139
05-01-2021,06:20:00,734.14,734.14,734.14,734.14,100
05-01-2021,06:25:00,733.69,733.69,733.69,733.69,100
05-01-2021,06:30:00,733.5,733.5,733.5,733.5,265
05-01-2021,06:35:00,733.38,734,733,733,1295
05-01-2021,06:45:00,731.6,731.6,731.6,731.6,200
05-01-2021,06:50:00,731.6,732,731.6,732,282
05-01-2021,06:55:00,731.97,731.97,730,730.81,2204
05-01-2021,07:00:00,731,733.72,731,733.4,25191
05-01-2021,07:05:00,733.31,734.3,731.2,731.78,32598
05-01-2021,07:10:00,731.75,732.23,729.5,730.89,31046
05-01-2021,07:15:00,730.95,731.32,729.44,729.44,22398
05-01-2021,07:20:00,729.5,730.65,729,730,14055
05-01-2021,07:25:00,730,730.1,729,729.01,10593
05-01-2021,07:30:00,728.9,729.3,727,727.01,22468
05-01-2021,07:35:00,727.21,729.48,727.21,728.5,7676
05-01-2021,07:40:00,728.4,728.5,726.64,727.1,7163
05-01-2021,07:45:00,727.6,728.56,727,728.38,7103
05-01-2021,07:50:00,728.36,729,728.28,728.58,8227
05-01-2021,07:55:00,728.03,728.2,725.66,726.46,15780
05-01-2021,08:00:00,732.98,733.99,725.3,726.3,40020
05-01-2021,08:05:00,726.31,726.31,724.7,725.48,21001
05-01-2021,08:10:00,725.12,725.16,723.6,724.68,18900
05-01-2021,08:15:00,724.62,724.62,722.14,722.37,24699
05-01-2021,08:20:00,722.38,723,721.61,721.62,31375
05-01-2021,08:25:00,721.66,723,721.35,722.6,21853
05-01-2021,08:30:00,722.59,724.77,722.59,723.5,16524
05-01-2021,08:35:00,723.55,725.6,723.55,724.44,14090
05-01-2021,08:40:00,724.25,725,723.69,724,10433
05-01-2021,08:45:00,724.05,724.48,722.42,722.42,12751
05-01-2021,08:50:00,722.3,724.55,721.55,724.55,15401
05-01-2021,08:55:00,724.67,724.7,722.53,723.82,5458
05-01-2021,09:00:00,723.2,724,722.02,723.4,8725
05-01-2021,09:05:00,723,723.4,721.5,721.94,19042
05-01-2021,09:10:00,722.22,723.5,722,722.18,16301
05-01-2021,09:15:00,722.16,723.19,722,722.25,10263
05-01-2021,09:20:00,722.22,722.3,721.01,721.47,15701
05-01-2021,09:25:00,721.52,724.44,721.51,724,17225
05-01-2021,09:30:00,723.66,727.12,719.2,724.365,1115366
05-01-2021,09:35:00,723.66,728.43,722.69,725.27,714276
05-01-2021,09:40:00,725.433,726.82,721.39,723.04,446906
05-01-2021,09:45:00,723.281,728.35,722.26,726.605,396332
05-01-2021,09:50:00,726.9,727.48,723.33,724.91,303864
05-01-2021,09:55:00,725.22,727.27,721.68,721.9,455492
05-01-2021,10:00:00,721.94,725.27,720.3,724.5,484630
05-01-2021,10:05:00,724.61,727.6,724.258,726.583,405048
05-01-2021,10:10:00,726.86,727.5,723.79,727.315,250738
05-01-2021,10:15:00,727.5,734.85,727.48,734.02,834071
